trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.49993, 'e': 0.95}",30,0,-191.3939569215442,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.49985999999999997, 'e': 0.8999999999999999}",20,0,-52.04199069128056,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.49978999999999996, 'e': 0.8499999999999999}",20,16,7.603502616189831,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.49971999999999994, 'e': 0.7999999999999998}",25,0,-246.46965735427375,"{0: 12, 1: 1, 2: 5, 3: 4, 4: 3}",0
5,False,"{'a': 0.4996499999999999, 'e': 0.7499999999999998}",20,11,-81.32975526181164,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.4995799999999999, 'e': 0.6999999999999997}",20,0,-174.4039977515409,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.4995099999999999, 'e': 0.6499999999999997}",30,19,-68.677336805436,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.4994399999999999, 'e': 0.5999999999999996}",25,10,-86.89073169494068,"{0: 9, 1: 3, 2: 0, 3: 2, 4: 1}",1
9,False,"{'a': 0.49936999999999987, 'e': 0.5499999999999996}",20,0,-44.47078838383555,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.49929999999999986, 'e': 0.4999999999999996}",30,4,-31.15783963070809,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.49922999999999984, 'e': 0.4499999999999996}",25,0,-152.51223935539235,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.4991599999999998, 'e': 0.39999999999999963}",25,11,-164.10151008719313,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 4}",1
13,False,"{'a': 0.4990899999999998, 'e': 0.34999999999999964}",25,0,-72.67687794970868,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.4990199999999998, 'e': 0.29999999999999966}",25,0,-99.23062211651043,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.4989499999999998, 'e': 0.24999999999999967}",20,0,-92.91654362442931,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.49887999999999977, 'e': 0.19999999999999968}",30,10,-55.52621948025677,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.49880999999999975, 'e': 0.1499999999999997}",25,7,-45.317224094482725,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.49873999999999974, 'e': 0.09999999999999969}",25,11,-42.37393053750901,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.4986699999999997, 'e': 0.049999999999999684}",25,0,-16.18670930111132,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.4985999999999997, 'e': -3.191891195797325e-16}",30,16,-71.4299279492861,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,0,-45.706517800615664,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-55.12762600122092,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,8.919035623649162,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-12.449360661729484,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,28.12141810333931,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,4,-13.29037918887959,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,2,3.2941604512087395,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-38.552171830428165,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,13,13.178657493135196,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,3.1505268148753705,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
