trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.49993, 'e': 0.9995001249791692}",25,0,-78.86107113805619,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.49985999999999997, 'e': 0.9990004998333748}",30,19,5.4776166987611665,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.49978999999999996, 'e': 0.9985011244377106}",20,15,-15.184698361376448,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,False,"{'a': 0.49971999999999994, 'e': 0.9980019986673326}",20,0,-99.7124236468378,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.4996499999999999, 'e': 0.9975031223974596}",25,0,-49.80207809966821,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.4995799999999999, 'e': 0.9970044955033723}",25,0,-240.60203476002965,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.4995099999999999, 'e': 0.9965061178604142}",20,0,-85.18759101644416,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.4994399999999999, 'e': 0.9960079893439906}",25,0,-151.40749162049246,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.49936999999999987, 'e': 0.9955101098295697}",25,0,-112.32411341355241,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
10,False,"{'a': 0.49929999999999986, 'e': 0.9950124791926813}",20,0,-97.75224860762454,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.49922999999999984, 'e': 0.9945150973089179}",30,13,-162.6981040326427,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 3}",1
12,False,"{'a': 0.4991599999999998, 'e': 0.9940179640539341}",20,0,-92.11701343650304,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.4990899999999998, 'e': 0.9935210793034464}",20,0,-70.40421213572934,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.4990199999999998, 'e': 0.9930244429332337}",30,10,-51.24114523895126,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.4989499999999998, 'e': 0.9925280548191369}",25,0,-186.5882948501372,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.49887999999999977, 'e': 0.992031914837059}",25,0,-114.25886700880184,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.49880999999999975, 'e': 0.9915360228629649}",20,0,-124.77936838666325,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.49873999999999974, 'e': 0.9910403787728818}",30,0,-194.50701074198594,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.4986699999999997, 'e': 0.9905449824428986}",25,0,-216.25928685490865,"{0: 11, 1: 5, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.4985999999999997, 'e': 0.990049833749166}",20,0,-172.8909729504414,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.4985299999999997, 'e': 0.9895549325678971}",20,0,-34.948076429273975,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.4984599999999997, 'e': 0.9890602787753664}",20,0,-146.09701333066792,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
23,False,"{'a': 0.49838999999999967, 'e': 0.9885658722479107}",20,0,-129.6004201459764,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
24,False,"{'a': 0.49831999999999965, 'e': 0.9880717128619281}",25,0,-168.31975306581137,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
25,False,"{'a': 0.49824999999999964, 'e': 0.9875778004938789}",20,0,-177.6940412230993,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
26,False,"{'a': 0.4981799999999996, 'e': 0.9870841350202849}",20,0,-59.773020908104996,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.4981099999999996, 'e': 0.9865907163177299}",20,0,-98.28647520063038,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.4980399999999996, 'e': 0.986097544262859}",35,0,-79.55196859015577,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.4979699999999996, 'e': 0.9856046187323794}",20,0,-148.08259151570653,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.49789999999999957, 'e': 0.9851119396030596}",25,0,-174.31784138334072,"{0: 12, 1: 6, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.49782999999999955, 'e': 0.9846195067517298}",20,0,-92.83234041639565,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
32,False,"{'a': 0.49775999999999954, 'e': 0.9841273200552818}",20,11,-6.139857763131005,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.4976899999999995, 'e': 0.983635379390669}",20,0,-101.68183945905281,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
