trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,13,-146.5529304550474,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-245.67008777450826,"{0: 6, 1: 4, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.27496858956505,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,18,-26.8031962412275,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.06101847518727,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.39175764510279,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.23636949183185,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-228.61214401417766,"{0: 14, 1: 7, 2: 9, 3: 4, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,5,-131.26885501366925,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.9057085119378,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-231.83550372341193,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.42497215021723,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,2,-189.68963911697574,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 4}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.823191738578586,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.0307286882948,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.0746589695474,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.7238406360513,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.2724120934304,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-153.7815839497503,"{0: 22, 1: 6, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-243.29971787022782,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-192.07899054844506,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.17340121277422,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.43055642607345,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.63303245790507,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,13,-37.66394788197539,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.17804982455505,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-197.415599102511,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.76873193796331,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.35354996949201,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,8,-65.79046066410709,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
